c5,remark,,,,,,,,
20191001019719I,"THE AIRMAN STATED IN PART, ON SEPTEMBER 29TH I WAS FLYING FROM KLEB BACK TO MY HOME BASE OF KVYS IN MY GRUMMAN TBM AVENGER N81865.  AT APPROXIMATELY 2:00 PM WE WERE COMFORTABLY CRUISING AT 6500 MSL WHEN THE MANIFOLD PRESSURE SUDDENLY AND RAPIDLY DROPPED FROM OUR STANDARD CRUISE POWER SETTING OF 30 IN HG TO 20 IN HG. THE ENGINE CONTINUED TO RUN SMOOTHLY AND NORMALLY AT 20 IN HG BUT AT THIS POWER WE CANNOT HOLD ALTITUDE. AFTER A FEW BRIEF UNSUCCESSFUL ATTEMPTS AT REMEDYING THE PROBLEM I DECLARED AN EMERGENCY AND ASKED FOR VECTORS TO THE NEAREST AIRPORT.   KBFD WAS THE NEAREST AIRPORT APPROXIMATELY 15 NM TO THE SE.  WE TURNED TOWARD THE AIRPORT AND I TURNED UP THE RPM FROM OUR CRUISE SETTING OF 2000 TO 2400 IN ORDER TO MAKE MORE POWER AT THE LIMITED MANIFOLD PRESSURE WE HAD AVAILABLE.   THIS ALLOWED US TO DECREASE OUR RATE OF DECENT AND COMFORTABLY MAKE THE AIRPORT.   ",,,,,,,,
,,,,,,,,,
UPON LANDING WE BEGAN TO TROUBLESHOOT THE PROBLEM BELIEVING IT TO BE A SUPERCHARGER ISSUE.,,,,,,,,,
20191001020719A,AIRMAN FLEW FROM GROVE CITY AIRPORT TO GREENVILLE AIRPORT (OVERFLEW WITH NO STOP) WITH A FLIGHT DURATION OF TEN MINUTES. AIRMAN STATED AT ONE POINT DURING HIS RETURN TO GROVE CITY HE HAD ONE EIGHTH OF A TANK AND THAT THAT FUEL BURN WAS 15 GALLONS PER HOUR PER WING. HE STATED HE FLEW FOR APPROXIMATELY ONE HALF HOUR. AT ONE EIGHTH OF A TANK IT IS ESTIMATED THAT HE HAD 20 MINUTES OF FUEL.  AIRMAN STATED THAT HE WAS BELOW GLIDEPATH AND APPLIED POWER. AIRMAN STATED THAT THE  LEFT ENGINE STOPPED PRODUCING POWER.  AIRMAN STATED HE DID NOT KNOW HOW MUCH FUEL HE HAD AT TAKEOFF. AIRMAN STATED THAT HE HAD NO APPARENT ANOMALIES WITH LEFT ENGINE PRIOR TO THE ENGINE SHUTTING DOWN ON FINAL APPROACH.,,,,,,,,
20191001024059I,"ON OCTOBER 1, 2019 AT APPROXIMATELY 0520 CST, N8112Y, A PIPER PA-30,",,,,,,,,
WHILE TAXIING STRUCK A TAXIWAY EDGE LIGHT AFTER LANDING ON RUNWAY 13R AT DALLAS LOVE FIELD (DAL).,,,,,,,,,
20191002013779A,"ON OCTOBER 2, 2019, AT 0953 EASTERN DAYLIGHT TIME, A BOEING B-17G, N93012, OWNED AND OPERATED BY THE COLLINGS FOUNDATION, WAS DESTROYED DURING A PRECAUTIONARY LANDING AND SUBSEQUENT RUNWAY EXCURSION AT BRADLEY INTERNATIONAL AIRPORT (BDL), WINDSOR LOCKS, CONNECTICUT. THE COMMERCIAL PILOT, AIRLINE TRANSPORT PILOT, AND FIVE PASSENGERS WERE FATALLY INJURED. THE FLIGHT MECHANIC/LOADMASTER AND FOUR PASSENGERS WERE SERIOUSLY INJURED, WHILE ONE PASSENGER AND ONE PERSON ON THE GROUND INCURRED MINOR INJURIES. THE LOCAL COMMERCIAL SIGHTSEEING FLIGHT WAS CONDUCTED UNDER THE PROVISIONS OF TITLE 14 CODE OF FEDERAL REGULATIONS PART 91, IN ACCORDANCE WITH A LIVING HISTORY FLIGHT EXPERIENCE EXEMPTION GRANTED BY THE FEDERAL AVIATION ADMINISTRATION (FAA). VISUAL METEOROLOGICAL CONDITIONS PREVAILED IN THE AREA AND NO FLIGHT PLAN WAS FILED FOR THE FLIGHT, WHICH DEPARTED BDL AT 0947.",,,,,,,,
"ON THE MORNING OF THE ACCIDENT FLIGHT, AN AIRPORT LINEMAN AT BDL ASSISTED THE LOADMASTER AS HE ADDED 160 GALLONS OF 100LL AVIATION FUEL TO THE ACCIDENT AIRPLANE. THE LINEMAN STATED THAT THE ACCIDENT AIRPLANE WAS THE FIRST TO BE FUELED WITH 100LL FUEL THAT DAY.",,,,,,,,,
"ACCORDING TO PRELIMINARY AIR TRAFFIC CONTROL (ATC) DATA PROVIDED BY THE FAA, SHORTLY AFTER TAKEOFF, AT 0950, ONE OF THE PILOTS REPORTED TO ATC THAT HE WANTED TO RETURN TO THE AIRPORT. AT THAT TIME, THE AIRPLANE WAS ABOUT 500 FT ABOVE GROUND LEVEL (AGL) ON THE RIGHT CROSSWIND LEG OF THE AIRPORT TRAFFIC PATTERN FOR RUNWAY 6. THE APPROACH CONTROLLER VERIFIED THE REQUEST AND ASKED IF THE PILOT REQUIRED ANY ASSISTANCE, TO WHICH HE REPLIED NO. THE CONTROLLER THEN ASKED FOR THE REASON FOR THE RETURN TO THE AIRPORT, AND THE PILOT REPLIED THAT THE AIRPLANE HAD A ""ROUGH MAG"" ON THE NO. 4 ENGINE. THE CONTROLLER THEN INSTRUCTED THE PILOT TO FLY A RIGHT DOWNWIND LEG FOR RUNWAY 6 AND CONFIRMED THAT THE FLIGHT NEEDED AN IMMEDIATE LANDING. HE SUBSEQUENTLY CANCELLED THE APPROACH OF ANOTHER AIRPLANE AND ADVISED THE PILOT TO PROCEED HOWEVER NECESSARY TO RUNWAY 6. THE APPROACH CONTROLLER INSTRUCTED THE PILOT TO CONTACT THE TOWER CONTROLLER, WHICH HE DID.",,,,,,,,,
"THE TOWER CONTROLLER REPORTED THAT THE WIND WAS CALM AND CLEARED THE FLIGHT TO LAND ON RUNWAY 6. THE PILOT ACKNOWLEDGED THE LANDING CLEARANCE; AT THAT TIME, THE AIRPLANE WAS ABOUT 300 FT AGL ON A MIDFIELD RIGHT DOWNWIND LEG FOR RUNWAY 6. THE TOWER CONTROLLER ASKED ABOUT THE AIRPLANE'S PROGRESS TO THE RUNWAY AND THE PILOT REPLIED THAT THEY WERE ""GETTING THERE"" AND ON THE RIGHT ",,,,,,,,,
PAGE 2 OF 4 ERA20MA001,,,,,,,,,
"THIS IS PRELIMINARY INFORMATION, SUBJECT TO CHANGE, AND MAY CONTAIN ERRORS. DOWNWIND LEG. NO FURTHER COMMUNICATIONS WERE RECEIVED FROM THE ACCIDENT AIRPLANE. WITNESS STATEMENTS AND AIRPORT SURVEILLANCE VIDEO CONFIRMED THAT THE AIRPLANE STRUCK APPROACH LIGHTS ABOUT 1,000 FT PRIOR TO THE RUNWAY, THEN CONTACTED THE GROUND ABOUT 500 FT PRIOR TO THE RUNWAY BEFORE REACHING RUNWAY 6. IT THEN VEERED RIGHT OFF THE RUNWAY BEFORE COLLIDING WITH VEHICLES AND A DEICING FLUID TANK ABOUT 1,100 FT RIGHT OF THE CENTER OF THE RUNWAY THRESHOLD.",,,,,,,,,
"THE WRECKAGE CAME TO REST UPRIGHT AND THE MAJORITY OF THE CABIN, COCKPIT, AND RIGHT WING WERE CONSUMED BY POSTIMPACT FIRE. THE LANDING GEAR WAS EXTENDED AND MEASUREMENT OF THE LEFT AND RIGHT WING FLAP JACKSCREWS CORRESPONDED TO A FLAPS RETRACTED SETTING.",,,,,,,,,
20191002018109A,"ON 10/02/2019 AT APPROXIMATELY 1345 A CFI AND STUDENT PILOT ROLLED HELICOPTER N4050X OVER DURING PRACTICE LANDINGS TO A TOWABLE LANDING PAD.  ONE SUCCESSFUL LANDING, WITH THE STUDENT PILOT MANAGING THE COLLECTIVE/PEDALS AND THE CFI MANAGING THE CYCLIC, IMMEDIATELY PRECEDED THE MISHAP LANDING.  N4050X DESCENDED WHILE BACKING AWAY IN A HOVER TO SET UP FOR LANDING CAUSING THE RIGHT SKID TO MAKE CONTACT WITH THE PAD.  SUBSEQUENT CONTROL INPUTS RESULTED IN THE RIGHT SKID BECOMING A PIVOT POINT IN THE AFT LEFT QUADRANT OF THE TOWABLE PAD.  A RIGHT ROLL RAPIDLY DEVELOPED, A CRITICAL ANGLE WAS EXCEEDED AND A DYNAMIC ROLLOVER OF THE HELICOPTER OCCURRED.  THE HELICOPTER CAME TO REST WITH THE RIGHT SKID ON THE GROUND AND THE RIGHT SIDE OF THE FUSELAGE RESTING NEAR THE AFT LEFT CORNER OF THE LANDING PAD.",,,,,,,,
20191002018709I,"ON OCTOBER 2, 2019, AT 1200 CDT, N9840A, A CESSNA 182R MADE A FORCED LANDING ON A ROAD 10 MILES NORTHEAST OF LEA COUNTY  REGIONAL AIRPORT DUE TO ENGINE FAILURE.  THE AIRCRAFT WAS BEING OPERATED ON A PIPELINE PATROL FLIGHT.  VISUAL METEROLOGICAL CONDITIONS PREVAILED AT THE TIME, AND NO VFR FLIGHT PLAN WAS FILED.  THE AIRCRAFT WAS NOT DAMAGED, AND THE PRIVATE PILOT WAS NOT INJURED.  THERE WERE NO OTHER PERSONS ON BOARD THE AIRCRAFT.  THE FLIGHT ORIGINATED FROM SWEETWATER, TEXAS, AND WAS FLYING TO CORTEZ, COLORADO.",,,,,,,,
20191003008569A,"ON OR ABOUT OCTOBER 3, 2019 AT APPROXIMATELY 0858 EASTERN DAYLIGHT TIME A 2003 SOCATA TBM 700, A FIXED WING SINGLE ENGINE AIRCRAFT BEARING THE REGISTRATION OF N700AQ (SN:252), SUSTAINED SUBSTANTIAL DAMAGE AFTER IMPACTING THE GROUND APPROXIMATELY ¼ OF A NAUTICAL MILE WEST OF THE CAPITAL REGION INTERNATIONAL AIRPORT (KLAN).  N700AQ IS REGISTERED TO N700AQ LLC.  N700AQ WAS ON AN IFR FLIGHT PLAN WHICH INDICATED THAT THE FLIGHT ORIGINATED FROM THE INDY SOUTH GREENWOOD AIRPORT (KHFY).  THE PILOT-IN-COMMAND OF N700AQ AT THE TIME OF THE ACCIDENT WAS JOEL ^PRIVACY DATA OMITTED^.  ^PRIVACY DATA OMITTED^ IS A COMMERCIAL PILOT WITH A CATEGORY AND CLASS RATING OF AIRPLANE SINGLE ENGINE LAND.  ^PRIVACY DATA OMITTED^ IS ALSO INSTRUMENT RATED IN AN AIRPLANE.  ACCORDING TO LOGBOOK RECORDS, IT APPEARS THAT ^PRIVACY DATA OMITTED^ WAS INSTRUMENT CURRENT AT THE TIME OF THE ACCIDENT. ",,,,,,,,
"N700AQ MADE CONTACT WITH KLAN TOWER AT APPROXIMATELY 7 NAUTICAL MILES WEST OF RUNWAY 10R ON THE ILS 10R APPROACH.  KLAN TOWER CLEARED N700AQ TO LAND ON 10R AND WHEN THE AIRCRAFT WAS ON SHORT FINAL, THE DATA BLOCK FOR N700AQ DROPPED FROM KLAN RADAR DISPLAY.  AN EMERGENCY LOCATOR TRANSMITTER SIGNAL WAS RECEIVED SHORTLY AFTER AND KLAN TOWER ATTEMPTED TO RE-ESTABLISH COMMUNICATIONS WITH NEGATIVE RESULTS.",,,,,,,,,
"INSTRUMENT METROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT WITH CALM WINDS, 1 ¼ STATUTE MILE OF VISIBILITY, OVERCAST CLOUDS AT 400FT, LIGHT RAIN AND MIST.  THE FOLLOWING OBSERVATION WAS MADE AT THE TIME OF THE ACCIDENT:",,,,,,,,,
KLAN 031253Z 00000KT 1 1/4SM R28L/6000VP6000FT -RA BR OVC004 12/11 A2993 RMK AO2 RAE11B44 SLP138 P0002 T01220111  ,,,,,,,,,
"IT IS IMPORTANT TO NOTE THAT A CERTIFICATED AIRMAN, ^PRIVACY DATA OMITTED^ WAS OCCUPYING THE FRONT RIGHT SEAT OF THE AIRCRAFT.  HOWEVER, THE AIRCRAFT DOES NOT REQUIRE A SECOND CREW MEMBER AND ^PRIVACY DATA OMITTED^ WILL BE CONSIDERED A PASSENGER.",,,,,,,,,
"THE TOTAL NUMBER OF SOULS ON BOARD OF N700AQ AT THE TIME OF THE ACCIDENT WAS SIX (6); ONE (1) PILOT AND FIVE (5) PASSENGERS.  THREE (3) OF THE PASSENGERS SUFFERED FATAL INJURIES AT THE SCENE.  THE PILOT AND TWO (2) PASSENGERS WERE TRANSPORTED TO SPARROW HOSPITAL IN LANSING, MI.  THE PILOT AND ONE PASSENGER HAVE SUCCUMBED TO THEIR INJURIES IN THE HOSPITAL.  THE REMAINING PASSENGER REMAINS IN CRITICAL CONDITION.  ",,,,,,,,,
"THE IMPACT POINT WAS IN A GRASS FIELD APPROXIMATELY 1/4 NM TO THE WEST OF THE THRESHOLD OF RUNWAY 10R. THERE WAS A GROUND SCAR MEASURED APPROXIMATELY 40 YARDS FROM IMPACT POINT TO THE AIRCRAFT'S FINAL RESTING SPOT.  THE GROUND SCARRING WAS ON AN APPROXIMATE HEADING OF 061 DEGREES.  THE ENTIRE AIRCRAFT WAS AT THE ACCIDENT SITE.  THE WINGS AND EMPENNAGE WERE STILL ATTACHED TO THE FUSELAGE.  ALL OF THE FLIGHT CONTROLS WERE STILL ATTACHED.  THE LANDING GEAR HANDLE WAS IN THE UP POSITON AND THE FLAP CONTROL LEVER WAS IN THE UP POSITON.  THE NOSE AND LEFT MAIN LANDING GEAR WERE UP AND LOCKED.  THE RIGHT MAIN UP AND IN THE WHEEL WELL, BUT WAS NOT LOCKED.  THE THRUST LEVER WAS IN FLIGHT IDLE, THE PROPELLER CONTROL LEVER WAS FULL FORWARD, AND THE CONDITION LEVER WAS FULL FORWARD.",,,,,,,,,
20191003013789I,PIC STATED AFTER LANDING ROLL OUT NOSE GEAR COLLAPSED.,,,,,,,,
20191003013819I,"ON 03 OCT 2019 AT 1335 EST AIRCRAFT N168J DEPARTED GYH, ON CLIMB OUT AT APPROXIMATELY 2,000 FEET AGL AND 220 KNOTS THE AIRCRAFT STRUCK A TURKEY VULTURE. AIRCRAFT TURNED BACK AND RETURNED TO GYH. 8-10 INCH DENT IN LEFT FORWARD SECTION BELOW WINDSHIELD.",,,,,,,,
20191003018719A,"AIRCRAFT N911RW OPERATED BY THE POLK COUNTY FLORIDA SHERIFF OFFICE RESPONDED TO A REPORT OF A DOWNED AIRCRAFT.   THE DOWNED AIRCRAFT WAS IN A REMOTE MINING LOCATION IN CENTRAL FLORIDA.  THE GROUND IN THE AREA CONSISTS OF GYPSUM MUD WITH AN ESTIMATED DEPTH OF 50 TO 60 FEET.  THE DOWNED AIRCRAFT WAS A GYRO WHICH HAD CONDUCTED AN EMERGENCY LANDING INTO THE AREA.  WHEN THE SHERIFF HELICOPTER ARRIVED AT THE SCENE, THE PILOT OF THE GYRO WAS STANDING ON THE SEAT OF THE AIRCRAFT TO AVOID SINKING INTO THE MUD.  THE SHERIFF DEPUTY REALIZED THE IMMEDIATE DANGER THE PILOT WAS IN AND ATTEMPTED TO RESCUE THE OTHER PILOT BY ALLOWING HIM TO HOLD ONTO THE SKID WHILE HE HOVERED TO FIRM GROUND.  AFTER A FEW FAILED ATTEMPTS TO HANG ONTO THE SKID, THE GYRO PILOT JUMPED ONTO THE SKID OF THE HOVERING HELICOPTER.  THE SUDDEN ADDED WEIGHT CAUSED A SHIFT IN CENTER OF GRAVITY WHICH LEAD TO A LOSS OF AIRCRAFT CONTROL.  THE HELICOPTER EXPERIENCED DYNAMIC ROLLOVER AND CAME TO REST IN THE GYPSUM MUD.  DAMAGE INCLUDED A SEPARATED TAILBOOM, AND EXTENSIVE DAMAGE TO THE MAIN ROTOR SYSTEM, ENGINE, AND TRANSMISSION.  THE SHERIFF DEPUTY WAS UNINJURED IN THE CRASH SEQUENCE, AS WAS THE GYRO PILOT.  THE TWO PILOTS WERE UNABLE TO EXIT THE GYPSUM MUD, AND WERE EVENTUALLY RESCUED BY A COAST GUARD HELICOPTER WITH A RESCUE HOIST.",,,,,,,,
20191003023139A,"THE PILOT WAS FLYING A VFR LEG FROM ZEPHYRHILLS AIRPORT TO SEBRING WITH ANOTHER GYRO AIRCRAFT.  AT CRUISE SPEED OF APPROXIMATELY 90 KNOTS AND 900 FEET AGL, THE PILOT EXPERIENCED A LOUD BANG WITH ACCOMPANIED POWER LOSS.  THE PILOT SELECTED AN EMERGENCY LANDING AREA WHICH SEEMED SUITABLE.  THE AREA WAS ACTUALLY A PHOSPHATE MINE WHICH USES A GYPSUM MUD LAKE APPROXIMATELY 50 FEET DEEP TO EXTRACT PHOSPHATE.  THE AIRCRAFT LANDED SOFTLY, BUT DUE TO THE INSTABILITY OF THE GROUND THE AIRCRAFT TILTED SLIGHTLY AND THE ROTOR AND PROPELLER STRUCK THE GROUND AND CAME TO A COMPLETE STOP.  THE PILOT WAS UNABLE TO EXIT THE MUD, AND WAS EVENTUALLY RESCUED BY A COAST GUARD HELICOPTER WITH A RESCUE HOIST.  ANALYSIS OF THE ENGINE COMPLETED BY A ROTAX ENGINE SPECIALIST SHOWED NO DAMAGE TO THE ENGINE.  A SIGNIFICANT AMOUNT OF WATER WAS FOUND IN THE FUEL SYSTEM, AND THE FUEL WAS HEAVILY CONTAMINATED.  THE FUEL SYSTEM WAS INTACT AND SHOWED NO INDICATION EXPOSURE TO CONTAMINANTS FROM OUTSIDE.  THE FUEL SYSTEM WAS DRAINED, REFILLED WITH NEW FUEL, AND THE ENGINE RAN NORMALLY.  THE FUEL WAS PURCHASED AT A GAS STATION NEAR THE NORTH TAMPA AIRPORT THE DAY PRIOR TO THE INCIDENT.  DUE TO THE DAMAGE TO THE AIRCRAFT ROTOR WHICH ADVERSELY AFFECTS THE FLIGHT CHARACTERISTICS OF THE VEHICLE, THE CASE IS DEEMED AN ACCIDENT.",,,,,,,,
20191004014189A,"AIRCRAFT LANDING WAS UNEVENTFUL. DURING AIRCRAFT TAXI, THE NOSE GEAR DUG INTO THE SOFT DIRT RUNWAY CAUSING THE NOSE GEAR TO BREAK. AIRCRAFT FLIPPED TAIL FORWARD AND CAME TO REST UPSIDE DOWN.",,,,,,,,
20191004018729I,"PILOT REPORTED THAT WHILE ON DOWNWIND TO RUNWAY 10 AT HOMESTEAD GENERAL AIRPORT, AIRCRAFT BEGAN TO SHAKE. PILOT ATTEMPTED TO LAND ON RUNWAY 18 BUT AIRCRAFT AIRSPEED WAS 120 KNOTS MID RUNWAY SO HE EXECUTED A GO AROUND. WHILE ON CROSSWIND THE ENGINE WAS ONLY PRODUCING 1500 RPM'S. PILOT SAW A CLEAR FIELD AND DECIDED TO MAKE A PRECAUTIONARY LANDING RATHER THAN ATTEMPTING A RETURN TO THE AIRPORT WITH LOW POWER AND LOW ALTITUDE.",,,,,,,,
20191004018739I,THE PILOT TOOK OFF WITH VERY LITTLE WIND. WHEN HE LANDED HE VEERED OFF THE RUNWAY AND WENT INTO A PLOWED FIELD. AFTER GETTING OUT OF THE AIRPLANE HE NOTICED THE WIND HAD PICKED UP. THE NEXT PLANE TO LAND HAD LANDED IN THE OPPOSITE DIRECTION. THE PILOT INDICATED THAT THIS IS THE ONLY REASON HE COULD HAVE VEERED OFF. THE PILOT HAD HIS MECHANIC LOOK AT THE AIRCRAFT AND FOUND NO ISSUES THAT COULD HAVE CAUSED THE NOSE WHEEL TO FAIL CAUSING A STEERING ISSUE. HE INDICATED THAT HE OBVIOUSLY MADE A MISTAKE.,,,,,,,,
20191004018749A,"PILOT DEPARTED KROC ABOUT 1600 HOURS ON OCTOBER 4 FOR THE FLIGHT TO KMDT. PILOT RECEIVED INITIAL CLEARANCE TO 10,000' AND WAS SUBSEQUENTLY CLEARED TO 12,000' AS HIS FINAL ALTITUDE. AS THE PILOT TURNED TO INTERCEPT THE FINAL APPROACH COURSE FOR RUNWAY 31, THE CONTROLLER HAD THE PILOT EXTEND RIGHT DOWNWIND FOR RUNWAY 31 AND SUBSEQUENTLY ISSUED A RIGHT TURN BACK TOWARD THE FIELD. THE PILOT CALLED THE FIELD IN SIGHT AND THE CONTROLLER ISSUED A ""CLEAR FOR THE VISUAL APPROACH TO RUNWAY 31"" AND WAS ISSUED A LANDING CLEARANCE FOR RUNWAY 31. THE PILOT DROPPED THE LANDING GEAR AND ADDED THE FIRST NOTCH OF FLAPS AND THAT IS WHEN THE ENGINE CUT OUT. THE PILOT PITCHED FOR THE BEST GLIDE SPEED AS HE TRIED TO RESTART THE ENGINE, ADVANCED THE POWER AND SWITCHED FUEL TANKS, NONE OF WHICH WORKED. HE STATED HE WAS LOSING ALTITUDE QUICKLY, AND THEN RETRACTED THE LANDING GEAR AND PREPARED FOR A WATER LANDING. THE PILOT ADVISED THE TOWER THAT HE WOULD NOT MAKE IT TO THE RUNWAY. HE LANDED IN THE WATER ABOUT 1-2 MILES FROM THE RUNWAY. AFTER STOPPING IN THE WATER THE PILOT AND PASSENGER EXITED THE AIRCRAFT ONTO THE WING AND WAS PICKED UP BY A NEARBY BOAT.",,,,,,,,
20191004018759A,N2FB WAS DESTROYED AFTER IMPACT WITH TERRAIN NEAR THE HBI AIRPORT.  THE PRIVATE PILOT RATED AIRCRAFT OWNER AND A STUDENT PILOT RATED PILOT BOTH PERISHED.  IT IS UNCLEAR WHO WAS AT THE CONTROLS OF THE AIRCRAFT AT THE TIME OF THE ACCIDENT.  A THIRD PILOT HAD FLOWN FROM HBI TO DKX EARLIER IN THE DAY AND STATED THAT THE VACUUM PUMP ON THE AIRCRAFT WAS KNOWN TO BE INOPERATIVE.  THE AIRCRAFT CRASHED WHILE RETURNING TO HBI FROM DKX.  THE AIRCRAFT CRASHED IN NIGHT VMC CONDITIONS.,,,,,,,,
20191004019099A,"PILOT REPORTED AIRCRAFT ENGINE DIED AT APPROXIMATELY 3500 FEET AND AFTER SEVERAL ATTEMPTS TO RESTART DECIDED TO MAKE AN EMERGENCY LANDING.  AIRCRAFT WENT OVER A TREE LINE HITTING THE TOPS OF THE TREES. ON THE OTHER SIDE OF THE TREE LINE THE LEFT WING HIT A POWER POLE AND SPUN THE AIRCRAFT INTO A SMALL FIELD ACROSS THE ROAD CAUSING SUBSTANTIAL DAMAGE.  UPON EXAMINATION OF THE AIRCRAFT IT WAS FOUND THAT THE RIGHT FUEL TANK WAS EMPTY AND THE FUEL TANK SELECTOR VALVE WAS IN THE RIGHT POSITION.  THE LEFT TANK HAD APPROXIMATELY 5 GALLONS.  PILOT SAID HE BELIEVED THE FUEL SELECTOR VALVE WAS IN THE BOTH POSITION BUT DOES NOT REMEMBER IF HE LOOKED AT IT DURING THE PREFLIGHT. PILOT RECEIVED COUNSELING, SEE PTRS SW03202000891.",,,,,,,,
20191005008789A,"THE AIRMAN'S EMPLOYER HIRED AN EXPERIENCED PILOT TO GIVE ADDITIONAL INSTRUCTION TO THE AIRMAN BECAUSE THEY FELT HE WAS UNSAFE. THE DAY OF THE ACCIDENT.  THE PLAN WAS A REVIEW OF STALLS, FALLING LEAF, AND LANDINGS IN A TAIL WHEEL AIRCRAFT SINCE THAT IS WHAT THE AIRMAN TYPICALLY FLIES. THE FLIGHT DEPARTED WEST BOUND OUT OF NORTH PERRY AIRPORT AT A PRELIMINARY ALTITUDE BETWEEN 1500 AND 1800 FEET.  UPON REACHING THE EVERGLADES, ALTITUDES VARIED BETWEEN 200 AND 400 FEET.  SHORTLY AFTER, RADAR CONTACT WAS LOST, AND THE AIRCRAFT SUBSEQUENTLY CRASHED INTO THE EVERGLADES SERIOUSLY INJURING BOTH PILOTS.",,,,,,,,
20191005014369I,DESCRIPTION:,,,,,,,,
,,,,,,,,,
"NEW FLIGHT INSTRUCTOR (HIRED A WEEK PRIOR) WAS GIVING DUAL INSTRUCTION TO A STUDENT PILOT PREPPING FOR A PRIVATE PRACTICAL TEST.  THE INSTRUCTOR EXPERIENCED SOME ANXIETY BECAUSE IT WOULD BE HIS FIRST EXPERIENCE IN TEACHING AUTOROTATIONS.  THE TWO BOARDED THE HELICOPTER AND TOOK OFF WITH THE GROUND HANDLING WHEELS ATTACHED TO THE HELICOPTER.  DURING THE FLIGHT, THE WHEELS FELL FROM THE HELICOPTER.  ONE WHEEL PENETRATED THE ROOF OF A NEARBY HOUSE.  THE HOUSE WAS UNOCCUPIED AND NO ONE ON THE GROUND WAS INJURED.  THE OTHER WHEEL LANDED IN A NEIGHBOR'S BACK YARD.",,,,,,,,,
,,,,,,,,,
CAUSAL FACTORS:,,,,,,,,,
,,,,,,,,,
ANOTHER INSTRUCTOR HAD USED THE HELICOPTER FOR A SIGHTSEEING RIDE.  SHE PUSHED THE HELICOPTER INTO THE HANGAR AND WASHED IT.  SHE THEN PUSHED THE HELICOPTER BACK OUTSIDE AND LEFT THE WHEELS ATTACHED BECAUSE IT LOOKED LIKE IT MIGHT RAIN AND SHE THOUGHT THE OTHER INSTRUCTOR MIGHT NEED TO PUSH THE HELICOPTER BACK IN THE HANGAR.,,,,,,,,,
,,,,,,,,,
RECOMMENDATIONS:,,,,,,,,,
,,,,,,,,,
THE INSTRUCTOR AND THE STUDENT PILOT WILL BE GIVEN COUNSELING CONCERNING PREFLIGHT OF THE HELICOPTER.  ,,,,,,,,,
,,,,,,,,,
PTRS GL03202000999,,,,,,,,,
,,,,,,,,,
"THE INSTRUCTOR TOLD ME THAT HE PREFLIGHTED THE HELICOPTER.  I ASKED HIM IF HE USED A CHECKLIST.  HE REPLIED THAT HE HAD.  I SHOWED HIM THE LINES ON THE CHECKLIST THAT STATED ""GROUND HANDLING WHEEL.......REMOVED"".",,,,,,,,,
,,,,,,,,,
I WILL ALSO SUGGEST TO THE SCHOOL OPERATOR THAT THEY INSTITUTE A POLICY REQUIRING THAT THE WHEELS BE REMOVED AFTER MOVING THE HELICOPTER.,,,,,,,,,
,,,,,,,,,
COMMENTS:,,,,,,,,,
,,,,,,,,,
"FLIGHT INSTRUCTOR MENTIONED THAT AT THE FLIGHT SCHOOL WHERE HE TRAINED, THE WHEELS WERE NEVER ON THE HELICOPTER.  EITHER SOMEONE ELSE PULLED THE HELICOPTER OUT OR IT WAS LEFT ON THE RAMP WITHOUT WHEELS.  IT APPEARS HE HAD FORMED A HABIT PATTERN WHEREBY HE NEVER CHECKED TO SEE IF THE WHEELS WERE ON THE HELICOPTER, DESPITE THE FACT THAT THEY ARE IN PLAIN VIEW TO ANYONE APPROACHING THE HELICOPTER.",,,,,,,,,
20191005015609A,"ON OCTOBER 5, 2019, AT APPROXIMATELY 1702 EDT, N326CW, A PIPER PA-60-602P AEROSTAR, IMPACTED TERRAIN SHORTLY AFTER DEPARTURE FROM THE KOKOMO MUNICIPAL AIRPORT (KOKK). THE ACCIDENT SITE WAS APPROXIMATELY 3.6 MILES SOUTH OF THE KOKK AIRPORT. THE AIRPLANE WAS BEING OPERATED BY A NON-OWNER PILOT UNDER THE PROVISIONS OF 14 CFR PART 91. THE IMPACT DESTROYED THE AIRPLANE. THE PILOT, SOLE OCCUPANT, SUFFERED FATAL INJURIES. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT.",,,,,,,,
,,,,,,,,,
