c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20190523016659A,A,91,   , ,2019,5,23,20190523,1530,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,222904,1665, , , , ,64003,CESSNA,172M        ,      ,        ,  ,STRD,4905,* ,  ,LYCOMI,0-320 SERIES ,L-4519,        ,  ,     ,EA,EA27,VA,FREDRICKSBURG  ,STAFFORD REGIONAL AIRPORT     ,15,KRMN,,,,,,,,,,,,,,DRY,,KRMN,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200310,,,20191209,20200310,1,N,,,,,,60,,,251,,,,"N64003 IS A 1975 CESSNA 172M OWNED AND OPERATED BY SHANNON SCHOOL OF AERONAUTICS IN FREDERICKSBURG, VA. THE STANDAR",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19660502,, ,
20190630016649A,A,91,   , ,2019,6,30,20190630,1224,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,222903,1664, , , , ,4238M,PIPER ,PA-12       ,      ,        ,  ,STRD,2871,* ,  ,LYCOMI,0-235 SERIES ,N/A   ,        ,  ,     ,NM,NM13,WA,YAKIMA         ,,,YKM ,,,46 33N,12031W,,,,,,,,,,,,YKM ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200310,,,20200303,20200310,1,N,,,,,,,,,1297,,,,"THE AIRMAN LANDED ON RUNWAY 27 AT KYKM. ON TOUCHDOWN, THE PILOT STATES HE EXPERIENCED A NOTICEABLE TAIL WHEEL SHIMM",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,32, , , ,  , , , ,  ,LR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,3250,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19681121,, ,
20190630016709I,I,91,   , ,2019,6,30,20190630,1508,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,222911,1670, , , , ,5545Q,MOONEY,M20C        ,      ,        ,  ,STRD,2114,* ,  ,LYCOMI,O&VO-360 SER ,      ,        ,  ,     ,EA,EA39,NC,FAYETTEVILLE   ,FAYETTEVILLE REGIONAL AIRPORT ,,KFAY,,,34 59N,07852W,,,,,,,,,,,,KFAY,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200310,,,20191115,20200310,1,N,,,,,,65,,47,900,,,,"WHILE TAXIING TO HANGERS FROM RUNWAY 28, THE LEFT GEAR COLLAPSED WHILE MAKING A RIGHT HAND TURN FROM TAXIWAY LIMA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190716016639A,A,91,   , ,2019,7,16,20190716,1320,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,222902,1663, , , , ,365EM,MITCHE,VANS RV-14A ,      ,        ,  ,EXPT,,* ,  ,LYCOMI,YIO-390 SER  ,EXP 10,        ,  ,     ,NM,NM09,OR,AUMSVILLE      ,,,,,,44 53N,12252W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200310,,,20200303,20200310,,N,,,,,,,,,,,,,AIRCRAFT CAUGHT FIRE IN FLIGHT AT 1500 FEET.  PILOT FELT HEAT IN FLOOR AND SAW FLAMES.  PILOT SHUT DOWN THE ENGINE ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,D, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
20190102016809A,A,91,   , ,2019,1,2,20190102,1650,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,222923,1680, , , , ,4934A,CESSNA,180,      ,        ,  ,STRD,,* ,  ,CONT M,O-470 SERIES ,      ,        ,  ,     ,NM,NM05,MT,TOWNSEND       ,,,8U8 ,,,,,,,,,,,,,,,,8U8 ,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,20200316,,,20200309,20200316,1,N,,,,,,,,,,,,,"ON JANUARY 2, 2019, ABOUT 1650 MOUNTAIN STANDARD TIME, A CESSNA 180, AIRPLANE, N4934A, IMPACTED POWERLINES AND TERR",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,OT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,"Other, Specify      ",                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19811112,, ,
20191230019769I,I,91,   , ,2019,12,30,20191230,1845,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,223328,1976, , , , ,6996V,MOONEY,M20F        ,      ,        ,  ,STRD,6619,* ,  ,      ,             ,      ,        ,  ,     ,SW,SW17,TX,GEORGETOWN     ,GEORGETOWN MUNICIPAL          ,,GTU ,,,30 40N,97 40W,,,,,,,,,,,,GTU ,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20200519,,,,20200519,XX,Y,,,,,,,,,250,,,,"ON DECEMBER 30 2019 AT 19:25 CDT N6996V A MOONEY M20F, WAS ON A TRAINING FLIGHT WITH THE STUDENT PILOT (REGISTERED ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,M, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19800124,19491006, ,
20191231019729I,I,91,   , ,2019,12,31,20191231,1820,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,223324,1972, , , , ,2869X,PIPER ,PA-28RT-201T,      ,        ,  ,STRD,,* ,  ,      ,             ,      ,        ,  ,     ,WP,WP15,CA,SAN JOSE       ,REID-HILLVIEW                 ,,RHV ,,,37 19N,12149W,,,,,,,,,,,,RHV ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200519,,,,20200519,1,N,,,,,,490,,128,1002,,,,"SAN JOSE, CA (RHV): N2869X, P28R, GEAR UP LANDING RWY 31L; **UPDATE: 1820PST 12/31: NTSB/ CONFIRMS MINOR DMG** POB:",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19540501,, ,
20191231019739I,I,91,   , ,2019,12,31,20191231,1735,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,223325,1973, , , , ,133GM,BEECH ,F33A        ,      ,        ,  ,STRD,,* ,  ,CONT M,IO 520 SERIES,      ,        ,  ,     ,SO,SO09,FL,CRESTVIEW      ,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200519,,,,20200519,1,N,,,,,,700,,70,750,,,,PILOT WAS IN THE TRAFFIC PATTERN FOR THE CRESTVIEW AIRPORT (CEW) WHEN HE BEGAN HIS TURN TO BASE LEG.  AT THAT TIME ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,N, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19740404,, ,
20191231019749I,I,91,   , ,2019,12,31,20191231,1540,9, , , , , , ,   ,2L72,2,L,7,2,4T  , , ,TR,  ,  ,223326,1974, , , , ,503LM,RAYTHE,B300        ,      ,        ,  ,STRD,,* ,  ,P&W   ,PT6A SER     ,      ,        ,  ,     ,NM,NM11,ID,MCCALL         ,,34,MYL ,,,,,,,,,,,,,,SNP,,MYL ,,,,,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200519,,,,20200519,F9,N,,,,,,700,,60,8200,,,,"PILOT WAS CONDUCTING A FAR PART 91 TRIP TO MCCALL, IDAHO.  HE CHECKED THE WEATHER AND CONTACTED THE FBO ABOUT THE R",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,A/LINE TRANSPORT PLT,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19790329,, ,
20191231019759A,A,91,   , ,2019,12,31,20191231,1504,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,223327,1975, , , , ,7095M,CESSNA,175,      ,        ,  ,STRD,3012,* ,  ,CONT M,IO-360-C     ,      ,        ,  ,     ,WP,WP27,CA,ELK            ,,,,,,39 08N,12343W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200519,,,,20200519,1,N,,,,,,186,,15,297,,,,PILOT UTILIZING PRIVATE MOWED STRIP TO PRACTICE POWER OFF LANDING APPROACH. STEADY 8 KNOT HEADWIND DISSIPATED AS AI,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19680310,, ,
20191223019849A,A,91,   , ,2019,12,23,20191223,1321,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,223336,1984, , , , ,739SB,CESSNA,172N        ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,SW,SW03,LA,PINEVILLE      ,PINEVILLE MUNI                ,36L ,2L0 ,,,,,,,,,,,,,,DRY,,2L0 ,,,,,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200526,,,,20200526,1,N,,,,,,62,,15,62,,,,WHILE ATTEMPTING TO LAND ON RUNWAY 36 A STRONG GUST  OF WIND HIT THE RIGHT SIDE OF THE AIRCRAFT.  PILOT DECIDED TO ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19861214,, ,
